0x0L,push    rbp
0x11caL,mov     eax, 0
0x11cfL,call    snprintf
0x11d4L,add     rsp, 10h
0x11d8L,mov     [rbp+var_6C], eax
0x11dbL,jmp     short loc_11E2
0x11ddL,call    abort
0x11e2L,jmp     loc_1BB8
0x11e7L,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 9
0x11eeL,mov     rax, [rbp+var_28]
0x11f2L,mov     rax, [rax+50h]
0x11f6L,shl     rax, 5
0x11faL,add     rax, rdx
0x11fdL,mov     rax, [rax+10h]
0x1201L,mov     [rbp+var_118], rax
0x1208L,mov     eax, [rbp+var_5C]
0x120bL,cmp     eax, 1
0x120eL,jz      short loc_1260
0x1210L,cmp     eax, 1
0x1213L,jb      short loc_1223
0x1215L,cmp     eax, 2
0x1218L,jz      loc_12A3
0x121eL,jmp     loc_12F0
0x1223L,mov     rdx, [rbp+src]
0x1227L,mov     rax, [rbp+n]
0x122bL,lea     rdi, [rdx+rax]  ; s
0x122fL,lea     rsi, [rbp+var_1DC]
0x1236L,mov     rcx, [rbp+var_118]
0x123dL,mov     rdx, [rbp+format]; format
0x1241L,mov     rax, [rbp+maxlen]
0x1248L,mov     r8, rsi
0x124bL,mov     rsi, rax        ; maxlen
0x124eL,mov     eax, 0
0x1253L,call    snprintf
0x1258L,mov     [rbp+var_6C], eax
0x125bL,jmp     loc_12F5
0x1260L,mov     ecx, [rbp+var_1D8]
0x1266L,mov     rdx, [rbp+src]
0x126aL,mov     rax, [rbp+n]
0x126eL,lea     rdi, [rdx+rax]  ; s
0x1272L,lea     r8, [rbp+var_1DC]
0x1279L,mov     rsi, [rbp+var_118]
0x1280L,mov     rdx, [rbp+format]; format
0x1284L,mov     rax, [rbp+maxlen]
0x128bL,mov     r9, r8
0x128eL,mov     r8, rsi
0x1291L,mov     rsi, rax        ; maxlen
0x1294L,mov     eax, 0
0x1299L,call    snprintf
0x129eL,mov     [rbp+var_6C], eax
0x12a1L,jmp     short loc_12F5
0x12a3L,mov     r8d, [rbp+var_1D4]
0x12aaL,mov     ecx, [rbp+var_1D8]
0x12b0L,mov     rdx, [rbp+src]
0x12b4L,mov     rax, [rbp+n]
0x12b8L,lea     rdi, [rdx+rax]  ; s
0x12bcL,mov     r9, [rbp+var_118]
0x12c3L,mov     rdx, [rbp+format]; format
0x12c7L,mov     rax, [rbp+maxlen]
0x12ceL,sub     rsp, 8
0x12d2L,lea     rsi, [rbp+var_1DC]
0x12d9L,push    rsi
0x12daL,mov     rsi, rax        ; maxlen
0x12ddL,mov     eax, 0
0x12e2L,call    snprintf
0x12e7L,add     rsp, 10h
0x12ebL,mov     [rbp+var_6C], eax
0x12eeL,jmp     short loc_12F5
0x12f0L,call    abort
0x12f5L,jmp     loc_1BB8
0x12faL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 10
0x1301L,mov     rax, [rbp+var_28]
0x1305L,mov     rax, [rax+50h]
0x1309L,shl     rax, 5
0x130dL,add     rax, rdx
0x1310L,mov     rax, [rax+10h]
0x1314L,mov     [rbp+var_120], rax
0x131bL,mov     eax, [rbp+var_5C]
0x131eL,cmp     eax, 1
0x1321L,jz      short loc_1373
0x1323L,cmp     eax, 1
0x1326L,jb      short loc_1336
0x1328L,cmp     eax, 2
0x132bL,jz      loc_13B6
0x1331L,jmp     loc_1403
0x1336L,mov     rdx, [rbp+src]
0x133aL,mov     rax, [rbp+n]
0x133eL,lea     rdi, [rdx+rax]  ; s
0x1342L,lea     rsi, [rbp+var_1DC]
0x1349L,mov     rcx, [rbp+var_120]
0x1350L,mov     rdx, [rbp+format]; format
0x1354L,mov     rax, [rbp+maxlen]
0x135bL,mov     r8, rsi
0x135eL,mov     rsi, rax        ; maxlen
0x1361L,mov     eax, 0
0x1366L,call    snprintf
0x136bL,mov     [rbp+var_6C], eax
0x136eL,jmp     loc_1408
0x1373L,mov     ecx, [rbp+var_1D8]
0x1379L,mov     rdx, [rbp+src]
0x137dL,mov     rax, [rbp+n]
0x1381L,lea     rdi, [rdx+rax]  ; s
0x1385L,lea     r8, [rbp+var_1DC]
0x138cL,mov     rsi, [rbp+var_120]
0x1393L,mov     rdx, [rbp+format]; format
0x1397L,mov     rax, [rbp+maxlen]
0x139eL,mov     r9, r8
0x13a1L,mov     r8, rsi
0x13a4L,mov     rsi, rax        ; maxlen
0x13a7L,mov     eax, 0
0x13acL,call    snprintf
0x13b1L,mov     [rbp+var_6C], eax
0x13b4L,jmp     short loc_1408
0x13b6L,mov     r8d, [rbp+var_1D4]
0x13bdL,mov     ecx, [rbp+var_1D8]
0x13c3L,mov     rdx, [rbp+src]
0x13c7L,mov     rax, [rbp+n]
0x13cbL,lea     rdi, [rdx+rax]  ; s
0x13cfL,mov     r9, [rbp+var_120]
0x13d6L,mov     rdx, [rbp+format]; format
0x13daL,mov     rax, [rbp+maxlen]
0x13e1L,sub     rsp, 8
0x13e5L,lea     rsi, [rbp+var_1DC]
0x13ecL,push    rsi
0x13edL,mov     rsi, rax        ; maxlen
0x13f0L,mov     eax, 0
0x13f5L,call    snprintf
0x13faL,add     rsp, 10h
0x13feL,mov     [rbp+var_6C], eax
0x1401L,jmp     short loc_1408
0x1403L,call    abort
0x1408L,jmp     loc_1BB8
0x140dL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 11
0x1414L,mov     rax, [rbp+var_28]
0x1418L,mov     rax, [rax+50h]
0x141cL,shl     rax, 5
0x1420L,add     rax, rdx
0x1423L,movsd   xmm0, qword ptr [rax+10h]
0x1428L,movsd   [rbp+var_128], xmm0
0x1430L,mov     eax, [rbp+var_5C]
0x1433L,cmp     eax, 1
0x1436L,jz      short loc_1494
0x1438L,cmp     eax, 1
0x143bL,jb      short loc_144B
0x143dL,cmp     eax, 2
0x1440L,jz      loc_14E0
0x1446L,jmp     loc_1533
0x144bL,mov     rdx, [rbp+src]
0x144fL,mov     rax, [rbp+n]
0x1453L,lea     rdi, [rdx+rax]  ; s
0x1457L,lea     rcx, [rbp+var_1DC]
0x145eL,mov     rsi, [rbp+var_128]
0x1465L,mov     rdx, [rbp+format]; format
0x1469L,mov     rax, [rbp+maxlen]
0x1470L,mov     [rbp+var_208], rsi
0x1477L,movsd   xmm0, [rbp+var_208]
0x147fL,mov     rsi, rax        ; maxlen
0x1482L,mov     eax, 1
0x1487L,call    snprintf
0x148cL,mov     [rbp+var_6C], eax
0x148fL,jmp     loc_1538
0x1494L,mov     ecx, [rbp+var_1D8]
0x149aL,mov     rdx, [rbp+src]
0x149eL,mov     rax, [rbp+n]
0x14a2L,lea     rdi, [rdx+rax]  ; s
0x14a6L,lea     r8, [rbp+var_1DC]
0x14adL,mov     rsi, [rbp+var_128]
0x14b4L,mov     rdx, [rbp+format]; format
0x14b8L,mov     rax, [rbp+maxlen]
0x14bfL,mov     [rbp+var_208], rsi
0x14c6L,movsd   xmm0, [rbp+var_208]
0x14ceL,mov     rsi, rax        ; maxlen
0x14d1L,mov     eax, 1
0x14d6L,call    snprintf
0x14dbL,mov     [rbp+var_6C], eax
0x14deL,jmp     short loc_1538
0x14e0L,mov     r8d, [rbp+var_1D4]
0x14e7L,mov     ecx, [rbp+var_1D8]
0x14edL,mov     rdx, [rbp+src]
0x14f1L,mov     rax, [rbp+n]
0x14f5L,lea     rdi, [rdx+rax]  ; s
0x14f9L,lea     r9, [rbp+var_1DC]
0x1500L,mov     rsi, [rbp+var_128]
0x1507L,mov     rdx, [rbp+format]; format
0x150bL,mov     rax, [rbp+maxlen]
0x1512L,mov     [rbp+var_208], rsi
0x1519L,movsd   xmm0, [rbp+var_208]
0x1521L,mov     rsi, rax        ; maxlen
0x1524L,mov     eax, 1
0x1529L,call    snprintf
0x152eL,mov     [rbp+var_6C], eax
0x1531L,jmp     short loc_1538
0x1533L,call    abort
0x1538L,jmp     loc_1BB8
0x153dL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 12
0x1544L,mov     rax, [rbp+var_28]
0x1548L,mov     rax, [rax+50h]
0x154cL,shl     rax, 5
0x1550L,add     rax, rdx
0x1553L,fld     tbyte ptr [rax+10h]
0x1556L,fstp    [rbp+var_140]
0x155cL,mov     eax, [rbp+var_5C]
0x155fL,cmp     eax, 1
0x1562L,jz      short loc_15BA
0x1564L,cmp     eax, 1
0x1567L,jb      short loc_1577
0x1569L,cmp     eax, 2
0x156cL,jz      loc_1603
0x1572L,jmp     loc_1655
0x1577L,mov     rdx, [rbp+src]
0x157bL,mov     rax, [rbp+n]
0x157fL,lea     rdi, [rdx+rax]  ; s
0x1583L,lea     rcx, [rbp+var_1DC]
0x158aL,mov     rdx, [rbp+format]; format
0x158eL,mov     rax, [rbp+maxlen]
0x1595L,push    qword ptr [rbp+var_140+8]
0x159bL,push    qword ptr [rbp+var_140]
0x15a1L,mov     rsi, rax        ; maxlen
0x15a4L,mov     eax, 0
0x15a9L,call    snprintf
0x15aeL,add     rsp, 10h
0x15b2L,mov     [rbp+var_6C], eax
0x15b5L,jmp     loc_165A
0x15baL,mov     ecx, [rbp+var_1D8]
0x15c0L,mov     rdx, [rbp+src]
0x15c4L,mov     rax, [rbp+n]
0x15c8L,lea     rdi, [rdx+rax]  ; s
0x15ccL,lea     rsi, [rbp+var_1DC]
0x15d3L,mov     rdx, [rbp+format]; format
0x15d7L,mov     rax, [rbp+maxlen]
0x15deL,push    qword ptr [rbp+var_140+8]
0x15e4L,push    qword ptr [rbp+var_140]
0x15eaL,mov     r8, rsi
0x15edL,mov     rsi, rax        ; maxlen
0x15f0L,mov     eax, 0
0x15f5L,call    snprintf
0x15faL,add     rsp, 10h
0x15feL,mov     [rbp+var_6C], eax
0x1601L,jmp     short loc_165A
0x1603L,mov     esi, [rbp+var_1D4]
0x1609L,mov     ecx, [rbp+var_1D8]
0x160fL,mov     rdx, [rbp+src]
0x1613L,mov     rax, [rbp+n]
0x1617L,lea     rdi, [rdx+rax]  ; s
0x161bL,lea     r8, [rbp+var_1DC]
0x1622L,mov     rdx, [rbp+format]; format
0x1626L,mov     rax, [rbp+maxlen]
0x162dL,push    qword ptr [rbp+var_140+8]
0x1633L,push    qword ptr [rbp+var_140]
0x1639L,mov     r9, r8
0x163cL,mov     r8d, esi
0x163fL,mov     rsi, rax        ; maxlen
0x1642L,mov     eax, 0
0x1647L,call    snprintf
0x164cL,add     rsp, 10h
0x1650L,mov     [rbp+var_6C], eax
0x1653L,jmp     short loc_165A
0x1655L,call    abort
0x165aL,jmp     loc_1BB8
0x165fL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 13
0x1666L,mov     rax, [rbp+var_28]
0x166aL,mov     rax, [rax+50h]
0x166eL,shl     rax, 5
0x1672L,add     rax, rdx
0x1675L,mov     eax, [rax+10h]
0x1678L,mov     [rbp+var_144], eax
0x167eL,mov     eax, [rbp+var_5C]
0x1681L,cmp     eax, 1
0x1684L,jz      short loc_16D5
0x1686L,cmp     eax, 1
0x1689L,jb      short loc_1699
0x168bL,cmp     eax, 2
0x168eL,jz      loc_1717
0x1694L,jmp     loc_1764
0x1699L,mov     rdx, [rbp+src]
0x169dL,mov     rax, [rbp+n]
0x16a1L,lea     rdi, [rdx+rax]  ; s
0x16a5L,lea     rsi, [rbp+var_1DC]
0x16acL,mov     ecx, [rbp+var_144]
0x16b2L,mov     rdx, [rbp+format]; format
0x16b6L,mov     rax, [rbp+maxlen]
0x16bdL,mov     r8, rsi
0x16c0L,mov     rsi, rax        ; maxlen
0x16c3L,mov     eax, 0
0x16c8L,call    snprintf
0x16cdL,mov     [rbp+var_6C], eax
0x16d0L,jmp     loc_1769
0x16d5L,mov     ecx, [rbp+var_1D8]
0x16dbL,mov     rdx, [rbp+src]
0x16dfL,mov     rax, [rbp+n]
0x16e3L,lea     rdi, [rdx+rax]  ; s
0x16e7L,lea     r8, [rbp+var_1DC]
0x16eeL,mov     esi, [rbp+var_144]
0x16f4L,mov     rdx, [rbp+format]; format
0x16f8L,mov     rax, [rbp+maxlen]
0x16ffL,mov     r9, r8
0x1702L,mov     r8d, esi
0x1705L,mov     rsi, rax        ; maxlen
0x1708L,mov     eax, 0
0x170dL,call    snprintf
0x1712L,mov     [rbp+var_6C], eax
0x1715L,jmp     short loc_1769
0x1717L,mov     r8d, [rbp+var_1D4]
0x171eL,mov     ecx, [rbp+var_1D8]
0x1724L,mov     rdx, [rbp+src]
0x1728L,mov     rax, [rbp+n]
0x172cL,lea     rdi, [rdx+rax]  ; s
0x1730L,mov     r9d, [rbp+var_144]
0x1737L,mov     rdx, [rbp+format]; format
0x173bL,mov     rax, [rbp+maxlen]
0x1742L,sub     rsp, 8
0x1746L,lea     rsi, [rbp+var_1DC]
0x174dL,push    rsi
0x174eL,mov     rsi, rax        ; maxlen
0x1751L,mov     eax, 0
0x1756L,call    snprintf
0x175bL,add     rsp, 10h
0x175fL,mov     [rbp+var_6C], eax
0x1762L,jmp     short loc_1769
0x1764L,call    abort
0x1769L,jmp     loc_1BB8
0x176eL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 14
0x1775L,mov     rax, [rbp+var_28]
0x1779L,mov     rax, [rax+50h]
0x177dL,shl     rax, 5
0x1781L,add     rax, rdx
0x1784L,mov     eax, [rax+10h]
0x1787L,mov     [rbp+var_148], eax
0x178dL,mov     eax, [rbp+var_5C]
0x1790L,cmp     eax, 1
0x1793L,jz      short loc_17E4
0x1795L,cmp     eax, 1
0x1798L,jb      short loc_17A8
0x179aL,cmp     eax, 2
0x179dL,jz      loc_1826
0x17a3L,jmp     loc_1873
0x17a8L,mov     rdx, [rbp+src]
0x17acL,mov     rax, [rbp+n]
0x17b0L,lea     rdi, [rdx+rax]  ; s
0x17b4L,lea     rsi, [rbp+var_1DC]
0x17bbL,mov     ecx, [rbp+var_148]
0x17c1L,mov     rdx, [rbp+format]; format
0x17c5L,mov     rax, [rbp+maxlen]
0x17ccL,mov     r8, rsi
0x17cfL,mov     rsi, rax        ; maxlen
0x17d2L,mov     eax, 0
0x17d7L,call    snprintf
0x17dcL,mov     [rbp+var_6C], eax
0x17dfL,jmp     loc_1878
0x17e4L,mov     ecx, [rbp+var_1D8]
0x17eaL,mov     rdx, [rbp+src]
0x17eeL,mov     rax, [rbp+n]
0x17f2L,lea     rdi, [rdx+rax]  ; s
0x17f6L,lea     r8, [rbp+var_1DC]
0x17fdL,mov     esi, [rbp+var_148]
0x1803L,mov     rdx, [rbp+format]; format
0x1807L,mov     rax, [rbp+maxlen]
0x180eL,mov     r9, r8
0x1811L,mov     r8d, esi
0x1814L,mov     rsi, rax        ; maxlen
0x1817L,mov     eax, 0
0x181cL,call    snprintf
0x1821L,mov     [rbp+var_6C], eax
0x1824L,jmp     short loc_1878
0x1826L,mov     r8d, [rbp+var_1D4]
0x182dL,mov     ecx, [rbp+var_1D8]
0x1833L,mov     rdx, [rbp+src]
0x1837L,mov     rax, [rbp+n]
0x183bL,lea     rdi, [rdx+rax]  ; s
0x183fL,mov     r9d, [rbp+var_148]
0x1846L,mov     rdx, [rbp+format]; format
0x184aL,mov     rax, [rbp+maxlen]
0x1851L,sub     rsp, 8
0x1855L,lea     rsi, [rbp+var_1DC]
0x185cL,push    rsi
0x185dL,mov     rsi, rax        ; maxlen
0x1860L,mov     eax, 0
0x1865L,call    snprintf
0x186aL,add     rsp, 10h
0x186eL,mov     [rbp+var_6C], eax
0x1871L,jmp     short loc_1878
0x1873L,call    abort
0x1878L,jmp     loc_1BB8
0x187dL,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 15
0x1884L,mov     rax, [rbp+var_28]
0x1888L,mov     rax, [rax+50h]
0x188cL,shl     rax, 5
0x1890L,add     rax, rdx
0x1893L,mov     rax, [rax+10h]
0x1897L,mov     [rbp+var_150], rax
0x189eL,mov     eax, [rbp+var_5C]
0x18a1L,cmp     eax, 1
0x18a4L,jz      short loc_18F6
0x18a6L,cmp     eax, 1
0x18a9L,jb      short loc_18B9
0x18abL,cmp     eax, 2
0x18aeL,jz      loc_1939
0x18b4L,jmp     loc_1986
0x18b9L,mov     rdx, [rbp+src]
0x18bdL,mov     rax, [rbp+n]
0x18c1L,lea     rdi, [rdx+rax]  ; s
0x18c5L,lea     rsi, [rbp+var_1DC]
0x18ccL,mov     rcx, [rbp+var_150]
0x18d3L,mov     rdx, [rbp+format]; format
0x18d7L,mov     rax, [rbp+maxlen]
0x18deL,mov     r8, rsi
0x18e1L,mov     rsi, rax        ; maxlen
0x18e4L,mov     eax, 0
0x18e9L,call    snprintf
0x18eeL,mov     [rbp+var_6C], eax
0x18f1L,jmp     loc_198B
0x18f6L,mov     ecx, [rbp+var_1D8]
0x18fcL,mov     rdx, [rbp+src]
0x1900L,mov     rax, [rbp+n]
0x1904L,lea     rdi, [rdx+rax]  ; s
0x1908L,lea     r8, [rbp+var_1DC]
0x190fL,mov     rsi, [rbp+var_150]
0x1916L,mov     rdx, [rbp+format]; format
0x191aL,mov     rax, [rbp+maxlen]
0x1921L,mov     r9, r8
0x1924L,mov     r8, rsi
0x1927L,mov     rsi, rax        ; maxlen
0x192aL,mov     eax, 0
0x192fL,call    snprintf
0x1934L,mov     [rbp+var_6C], eax
0x1937L,jmp     short loc_198B
0x1939L,mov     r8d, [rbp+var_1D4]
0x1940L,mov     ecx, [rbp+var_1D8]
0x1946L,mov     rdx, [rbp+src]
0x194aL,mov     rax, [rbp+n]
0x194eL,lea     rdi, [rdx+rax]  ; s
0x1952L,mov     r9, [rbp+var_150]
0x1959L,mov     rdx, [rbp+format]; format
0x195dL,mov     rax, [rbp+maxlen]
0x1964L,sub     rsp, 8
0x1968L,lea     rsi, [rbp+var_1DC]
0x196fL,push    rsi
0x1970L,mov     rsi, rax        ; maxlen
0x1973L,mov     eax, 0
0x1978L,call    snprintf
0x197dL,add     rsp, 10h
0x1981L,mov     [rbp+var_6C], eax
0x1984L,jmp     short loc_198B
0x1986L,call    abort
0x198bL,jmp     loc_1BB8
0x1990L,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 16
0x1997L,mov     rax, [rbp+var_28]
0x199bL,mov     rax, [rax+50h]
0x199fL,shl     rax, 5
0x19a3L,add     rax, rdx
0x19a6L,mov     rax, [rax+10h]
0x19aaL,mov     [rbp+var_158], rax
0x19b1L,mov     eax, [rbp+var_5C]
0x19b4L,cmp     eax, 1
0x19b7L,jz      short loc_1A09
0x19b9L,cmp     eax, 1
0x19bcL,jb      short loc_19CC
0x19beL,cmp     eax, 2
0x19c1L,jz      loc_1A4C
0x19c7L,jmp     loc_1A99
0x19ccL,mov     rdx, [rbp+src]
0x19d0L,mov     rax, [rbp+n]
0x19d4L,lea     rdi, [rdx+rax]  ; s
0x19d8L,lea     rsi, [rbp+var_1DC]
0x19dfL,mov     rcx, [rbp+var_158]
0x19e6L,mov     rdx, [rbp+format]; format
0x19eaL,mov     rax, [rbp+maxlen]
0x19f1L,mov     r8, rsi
0x19f4L,mov     rsi, rax        ; maxlen
0x19f7L,mov     eax, 0
0x19fcL,call    snprintf
0x1a01L,mov     [rbp+var_6C], eax
0x1a04L,jmp     loc_1A9E
0x1a09L,mov     ecx, [rbp+var_1D8]
0x1a0fL,mov     rdx, [rbp+src]
0x1a13L,mov     rax, [rbp+n]
0x1a17L,lea     rdi, [rdx+rax]  ; s
0x1a1bL,lea     r8, [rbp+var_1DC]
0x1a22L,mov     rsi, [rbp+var_158]
0x1a29L,mov     rdx, [rbp+format]; format
0x1a2dL,mov     rax, [rbp+maxlen]
0x1a34L,mov     r9, r8
0x1a37L,mov     r8, rsi
0x1a3aL,mov     rsi, rax        ; maxlen
0x1a3dL,mov     eax, 0
0x1a42L,call    snprintf
0x1a47L,mov     [rbp+var_6C], eax
0x1a4aL,jmp     short loc_1A9E
0x1a4cL,mov     r8d, [rbp+var_1D4]
0x1a53L,mov     ecx, [rbp+var_1D8]
0x1a59L,mov     rdx, [rbp+src]
0x1a5dL,mov     rax, [rbp+n]
0x1a61L,lea     rdi, [rdx+rax]  ; s
0x1a65L,mov     r9, [rbp+var_158]
0x1a6cL,mov     rdx, [rbp+format]; format
0x1a70L,mov     rax, [rbp+maxlen]
0x1a77L,sub     rsp, 8
0x1a7bL,lea     rsi, [rbp+var_1DC]
0x1a82L,push    rsi
0x1a83L,mov     rsi, rax        ; maxlen
0x1a86L,mov     eax, 0
0x1a8bL,call    snprintf
0x1a90L,add     rsp, 10h
0x1a94L,mov     [rbp+var_6C], eax
0x1a97L,jmp     short loc_1A9E
0x1a99L,call    abort
0x1a9eL,jmp     loc_1BB8
0x1aa3L,mov     rdx, [rbp+var_1C8]; jumptable 0000000000000957 case 17
0x1aaaL,mov     rax, [rbp+var_28]
0x1aaeL,mov     rax, [rax+50h]
0x1ab2L,shl     rax, 5
0x1ab6L,add     rax, rdx
0x1ab9L,mov     rax, [rax+10h]
0x1abdL,mov     [rbp+var_160], rax
0x1ac4L,mov     eax, [rbp+var_5C]
0x1ac7L,cmp     eax, 1
0x1acaL,jz      short loc_1B1C
0x1accL,cmp     eax, 1
0x1acfL,jb      short loc_1ADF
0x1ad1L,cmp     eax, 2
0x1ad4L,jz      loc_1B5F
0x1adaL,jmp     loc_1BAC
0x1adfL,mov     rdx, [rbp+src]
0x1ae3L,mov     rax, [rbp+n]
0x1ae7L,lea     rdi, [rdx+rax]  ; s
0x1aebL,lea     rsi, [rbp+var_1DC]
0x1af2L,mov     rcx, [rbp+var_160]
0x1af9L,mov     rdx, [rbp+format]; format
0x1afdL,mov     rax, [rbp+maxlen]
0x1b04L,mov     r8, rsi
0x1b07L,mov     rsi, rax        ; maxlen
0x1b0aL,mov     eax, 0
0x1b0fL,call    snprintf
0x1b14L,mov     [rbp+var_6C], eax
0x1b17L,jmp     loc_1BB1
0x1b1cL,mov     ecx, [rbp+var_1D8]
0x1b22L,mov     rdx, [rbp+src]
0x1b26L,mov     rax, [rbp+n]
0x1b2aL,lea     rdi, [rdx+rax]  ; s
0x1b2eL,lea     r8, [rbp+var_1DC]
0x1b35L,mov     rsi, [rbp+var_160]
0x1b3cL,mov     rdx, [rbp+format]; format
0x1b40L,mov     rax, [rbp+maxlen]
0x1b47L,mov     r9, r8
0x1b4aL,mov     r8, rsi
0x1b4dL,mov     rsi, rax        ; maxlen
0x1b50L,mov     eax, 0
0x1b55L,call    snprintf
0x1b5aL,mov     [rbp+var_6C], eax
0x1b5dL,jmp     short loc_1BB1
0x1b5fL,mov     r8d, [rbp+var_1D4]
0x1b66L,mov     ecx, [rbp+var_1D8]
0x1b6cL,mov     rdx, [rbp+src]
0x1b70L,mov     rax, [rbp+n]
0x1b74L,lea     rdi, [rdx+rax]  ; s
0x1b78L,mov     r9, [rbp+var_160]
0x1b7fL,mov     rdx, [rbp+format]; format
0x1b83L,mov     rax, [rbp+maxlen]
0x1b8aL,sub     rsp, 8
0x1b8eL,lea     rsi, [rbp+var_1DC]
0x1b95L,push    rsi
0x1b96L,mov     rsi, rax        ; maxlen
0x1b99L,mov     eax, 0
0x1b9eL,call    snprintf
0x1ba3L,add     rsp, 10h
0x1ba7L,mov     [rbp+var_6C], eax
0x1baaL,jmp     short loc_1BB1
0x1bacL,call    abort
0x1bb1L,jmp     short loc_1BB8
0x1bb3L,call    abort           ; jumptable 0000000000000957 default case
0x1bb8L,mov     eax, [rbp+var_1DC]
0x1bbeL,test    eax, eax
0x1bc0L,js      short loc_1C13
0x1bc2L,mov     eax, [rbp+var_1DC]
0x1bc8L,cdqe
0x1bcaL,cmp     rax, [rbp+maxlen]
0x1bd1L,jnb     short loc_1BF6
0x1bd3L,mov     eax, [rbp+var_1DC]
0x1bd9L,movsxd  rdx, eax
0x1bdcL,mov     rax, [rbp+n]
0x1be0L,add     rdx, rax
0x1be3L,mov     rax, [rbp+src]
0x1be7L,add     rax, rdx
0x1beaL,movzx   eax, byte ptr [rax]
0x1bedL,test    al, al
0x1befL,jz      short loc_1BF6
0x1bf1L,call    abort
0x1bf6L,mov     eax, [rbp+var_1DC]
0x1bfcL,cmp     [rbp+var_6C], eax
0x1bffL,jle     loc_1D54
0x1c05L,mov     eax, [rbp+var_6C]
0x1c08L,mov     [rbp+var_1DC], eax
0x1c0eL,jmp     loc_1D54
0x1c13L,mov     rax, [rbp+var_58]
0x1c17L,add     rax, 1
0x1c1bL,movzx   eax, byte ptr [rax]
0x1c1eL,test    al, al
0x1c20L,jz      short loc_1C32
0x1c22L,mov     rax, [rbp+var_58]
0x1c26L,add     rax, 1
0x1c2aL,mov     byte ptr [rax], 0
0x1c2dL,jmp     loc_1EFD
0x1c32L,cmp     [rbp+var_6C], 0
0x1c36L,jns     loc_1D4B
0x1c3cL,mov     eax, 0Ch
0x1c41L,cmp     [rbp+var_38], 0Ch
0x1c46L,cmovnb  rax, [rbp+var_38]
0x1c4bL,mov     [rbp+var_168], rax
0x1c52L,mov     rdx, [rbp+n]
0x1c56L,mov     rax, [rbp+var_168]
0x1c5dL,add     rax, rdx
0x1c60L,mov     [rbp+var_170], rax
0x1c67L,mov     rax, [rbp+var_170]
0x1c6eL,cmp     rax, [rbp+n]
0x1c72L,jb      loc_2116
0x1c78L,mov     rax, [rbp+var_170]
0x1c7fL,cmp     rax, [rbp+var_38]
0x1c83L,jbe     loc_1EF6
0x1c89L,cmp     [rbp+var_38], 0
0x1c8eL,jz      short loc_1C99
0x1c90L,mov     rax, [rbp+var_38]
0x1c94L,add     rax, rax
0x1c97L,jmp     short loc_1C9E
0x1c99L,mov     eax, 0Ch
0x1c9eL,mov     [rbp+var_38], rax
0x1ca2L,mov     rax, [rbp+var_170]
0x1ca9L,cmp     rax, [rbp+var_38]
0x1cadL,jbe     short loc_1CBA
0x1cafL,mov     rax, [rbp+var_170]
0x1cb6L,mov     [rbp+var_38], rax
0x1cbaL,mov     rax, [rbp+var_38]
0x1cbeL,mov     [rbp+var_178], rax
0x1cc5L,mov     rax, [rbp+src]
0x1cc9L,cmp     rax, [rbp+var_1E8]
0x1cd0L,jz      short loc_1CD9
0x1cd2L,cmp     [rbp+src], 0
0x1cd7L,jnz     short loc_1CEE
0x1cd9L,mov     rax, [rbp+var_178]
0x1ce0L,mov     rdi, rax        ; size
0x1ce3L,call    malloc
0x1ce8L,mov     [rbp+var_78], rax
0x1cecL,jmp     short loc_1D08
0x1ceeL,mov     rdx, [rbp+var_178]
0x1cf5L,mov     rax, [rbp+src]
0x1cf9L,mov     rsi, rdx        ; size
0x1cfcL,mov     rdi, rax        ; ptr
0x1cffL,call    realloc
0x1d04L,mov     [rbp+var_78], rax
0x1d08L,cmp     [rbp+var_78], 0
0x1d0dL,jz      loc_2119
0x1d13L,mov     rax, [rbp+src]
0x1d17L,cmp     rax, [rbp+var_1E8]
0x1d1eL,jnz     short loc_1D3E
0x1d20L,cmp     [rbp+n], 0
0x1d25L,jz      short loc_1D3E
0x1d27L,mov     rdx, [rbp+n]    ; n
0x1d2bL,mov     rcx, [rbp+src]
0x1d2fL,mov     rax, [rbp+var_78]
0x1d33L,mov     rsi, rcx        ; src
0x1d36L,mov     rdi, rax        ; dest
0x1d39L,call    memcpy
0x1d3eL,mov     rax, [rbp+var_78]
0x1d42L,mov     [rbp+src], rax
0x1d46L,jmp     loc_1EF6
0x1d4bL,mov     eax, [rbp+var_6C]
0x1d4eL,mov     [rbp+var_1DC], eax
0x1d54L,mov     eax, [rbp+var_1DC]
0x1d5aL,test    eax, eax
0x1d5cL,jns     short loc_1DD0
0x1d5eL,mov     rax, [rbp+src]
0x1d62L,cmp     rax, [rbp+var_1E8]
0x1d69L,jz      short loc_1D7E
0x1d6bL,cmp     [rbp+src], 0
0x1d70L,jz      short loc_1D7E
0x1d72L,mov     rax, [rbp+src]
0x1d76L,mov     rdi, rax        ; ptr
0x1d79L,call    free
